"YYYYMMDD","hhmmss (UTC+0)","Type","Direction","Duration [s]"
20100919,171204,Data,Outgoing,7
20100919,173126,SMS,Outgoing,0
20100919,173509,SMS,Incoming,0
20100919,173718,SMS,Outgoing,0
20100919,173848,Voice,Outgoing,3
20100919,174017,Voice,Incoming,1014
20100919,175723,Voice,Incoming,296
20100919,200235,SMS,Incoming,0
20100919,234909,SMS,Outgoing,0
20100919,235035,SMS,Incoming,0
20100920,081328,Voice,Incoming,166
20100920,081925,Voice,Outgoing,130
20100920,095214,SMS,Outgoing,0
20100920,104624,SMS,Outgoing,0
20100920,120743,SMS,Incoming,0
20100920,133057,SMS,Outgoing,0
20100920,133747,SMS,Incoming,0
20100920,134603,SMS,Incoming,0
20100920,134913,SMS,Outgoing,0
20100920,145358,SMS,Outgoing,0
20100920,152221,Voice,Outgoing,0
20100920,152429,SMS,Outgoing,0
20100920,155801,SMS,Incoming,0
20100920,160405,SMS,Outgoing,0
20100920,163142,SMS,Incoming,0
20100920,163504,SMS,Outgoing,0
20100920,163851,SMS,Incoming,0
20100920,164011,SMS,Outgoing,0
20100920,182612,Voice,Outgoing,0
20100920,182931,Voice,Outgoing,8
20100920,201842,SMS,Outgoing,0
20100920,212151,SMS,Outgoing,0
20100921,045944,SMS,Outgoing,0
20100921,054620,Voice,Outgoing,0
20100921,055028,SMS,Incoming,0
20100921,055335,Voice,Outgoing,0
20100921,055403,Voice,Outgoing,105
20100921,055637,Voice,Outgoing,24
20100921,060753,SMS,Incoming,0
20100921,060826,SMS,Outgoing,0
20100921,064132,SMS,Incoming,0
20100921,065152,Voice,Outgoing,65
20100921,065416,SMS,Outgoing,0
20100921,065444,Voice,Outgoing,88
20100921,065728,SMS,Incoming,0
20100921,070154,SMS,Incoming,0
20100921,070522,SMS,Outgoing,0
20100921,071809,SMS,Outgoing,0
20100921,084326,Voice,Missed call,0
20100921,092310,Voice,Outgoing,0
20100921,092324,Voice,Incoming,79
20100921,095953,SMS,Incoming,0
20100921,103707,Voice,Outgoing,0
20100921,113126,Voice,Outgoing,100
20100921,113632,SMS,Outgoing,0
20100921,113910,SMS,Outgoing,0
20100921,113947,SMS,Incoming,0
20100921,114025,SMS,Outgoing,0
20100921,115452,Data,Outgoing,23
20100921,115504,SMS,Incoming,0
20100921,115516,Data,Outgoing,0
20100921,115835,SMS,Incoming,0
20100921,120900,SMS,Incoming,0
20100921,121350,SMS,Incoming,0
20100921,121352,SMS,Incoming,0
20100921,124126,Voice,Incoming,93
20100921,125602,Voice,Outgoing,0
20100921,145419,Data,Outgoing,145
20100921,145646,Data,Outgoing,8109
20100921,153143,SMS,Outgoing,0
20100921,154812,SMS,Incoming,0
20100921,154818,Data,Outgoing,7
20100921,160559,SMS,Outgoing,0
20100921,160952,SMS,Incoming,0
20100921,171157,Data,Outgoing,323
20100921,171906,Data,Outgoing,7
20100921,171919,Data,Outgoing,26
20100921,172034,Data,Outgoing,86
20100921,172131,SMS,Incoming,0
20100921,172300,Data,Outgoing,87
20100921,172852,Data,Outgoing,11
20100921,172909,Data,Outgoing,43
20100921,173005,Data,Outgoing,7
20100921,173103,Data,Outgoing,49
20100921,180023,Data,Outgoing,33
20100921,180057,Data,Outgoing,89
20100921,180235,Data,Outgoing,21
20100921,180326,Data,Outgoing,27
20100921,180722,Voice,Outgoing,0
20100921,180751,Data,Outgoing,6
20100921,180801,Data,Outgoing,65
20100921,180932,Data,Outgoing,62
20100921,195736,SMS,Incoming,0
20100921,205859,SMS,Outgoing,0
20100921,210208,SMS,Outgoing,0
20100921,211903,Data,Outgoing,22
20100921,211926,Data,Outgoing,30
20100921,213636,SMS,Outgoing,0
20100921,220239,SMS,Incoming,0
20100921,220402,SMS,Incoming,0
20100921,220450,Data,Outgoing,30590
20100922,053159,SMS,Incoming,0
20100922,063454,Data,Outgoing,47
20100922,063550,Data,Outgoing,29
20100922,063708,Data,Outgoing,11
20100922,063849,Data,Outgoing,5
20100922,063916,Data,Outgoing,6
20100922,063923,Data,Outgoing,6
20100922,073434,Voice,Outgoing,11
20100922,081049,Voice,Outgoing,282
20100922,083110,Voice,Outgoing,4
20100922,083246,SMS,Outgoing,0
20100922,083318,Voice,Missed call,0
20100922,083350,Voice,Outgoing,5
20100922,083400,Voice,Outgoing,0
20100922,083405,Voice,Incoming,122
20100922,084230,SMS,Outgoing,0
20100922,085127,SMS,Incoming,0
20100922,085750,Data,Outgoing,59
20100922,091823,SMS,Incoming,0
20100922,092125,SMS,Outgoing,0
20100922,094518,Voice,Incoming,266
20100922,094958,Voice,Outgoing,0
20100922,095727,SMS,Incoming,0
20100922,095805,SMS,Outgoing,0
20100922,102238,Data,Outgoing,7
20100922,110551,SMS,Incoming,0
20100922,111320,Voice,Incoming,0
20100922,112824,Voice,Outgoing,0
20100922,112850,Voice,Incoming,18
20100922,114029,Voice,Incoming,39
20100922,115537,Voice,Outgoing,63
20100922,122149,Voice,Outgoing,262
20100922,124650,Voice,Outgoing,0
20100922,124800,Voice,Outgoing,525
20100922,130045,Voice,Outgoing,70
20100922,132402,Voice,Incoming,117
20100922,135012,Voice,Outgoing,17
20100922,141226,Voice,Outgoing,164
20100922,143847,Voice,Outgoing,79
20100922,145718,Data,Outgoing,20
20100922,150253,Voice,Outgoing,126
20100922,150657,SMS,Incoming,0
20100922,151034,SMS,Outgoing,0
20100922,153332,SMS,Incoming,0
20100922,153805,SMS,Outgoing,0
20100922,160455,Voice,Incoming,7
20100922,160708,SMS,Incoming,0
20100922,160738,SMS,Outgoing,0
20100922,162944,SMS,Outgoing,0
20100922,165315,SMS,Outgoing,0
20100922,165526,Voice,Outgoing,54
20100922,165632,Voice,Outgoing,48
20100922,170203,SMS,Outgoing,0
20100922,172347,Voice,Outgoing,115
20100922,181155,Voice,Outgoing,250
20100922,184710,SMS,Incoming,0
20100922,194045,SMS,Incoming,0
20100922,201403,SMS,Outgoing,0
20100922,202216,SMS,Incoming,0
20100922,204029,SMS,Outgoing,0
20100922,204217,SMS,Incoming,0
20100922,205250,Data,Outgoing,30
20100923,061014,Data,Outgoing,30
20100923,061114,SMS,Outgoing,0
20100923,063506,SMS,Incoming,0
20100923,090241,Voice,Outgoing,0
20100923,090502,Voice,Outgoing,0
20100923,091042,Voice,Outgoing,21
20100923,091452,Voice,Missed call,0
20100923,091752,Voice,Outgoing,348
20100923,092828,SMS,Outgoing,0
20100923,092853,Voice,Outgoing,0
20100923,093219,SMS,Outgoing,0
20100923,093248,Voice,Outgoing,321
20100923,094235,Voice,Incoming,219
20100923,094650,Voice,Incoming,26
20100923,094740,Voice,Outgoing,125
20100923,095254,SMS,Outgoing,0
20100923,100032,Voice,Outgoing,0
20100923,100235,Voice,Outgoing,0
20100923,100810,Voice,Outgoing,0
20100923,101212,SMS,Incoming,0
20100923,103125,SMS,Outgoing,0
20100923,103213,SMS,Outgoing,0
20100923,105327,Voice,Outgoing,0
20100923,114609,SMS,Incoming,0
20100923,114915,Voice,Incoming,49
20100923,115558,Voice,Outgoing,125
20100923,122837,SMS,Incoming,0
20100923,122933,SMS,Outgoing,0
20100923,125743,Voice,Outgoing,0
20100923,131612,Voice,Outgoing,0
20100923,131650,SMS,Incoming,0
20100923,132545,Voice,Incoming,67
20100923,134756,Voice,Incoming,66
20100923,140152,SMS,Outgoing,0
20100923,140259,SMS,Incoming,0
20100923,141100,Voice,Incoming,117
20100923,141655,Voice,Incoming,374
20100923,150226,SMS,Incoming,0
20100923,151447,SMS,Outgoing,0
20100923,151924,SMS,Incoming,0
20100923,152218,SMS,Outgoing,0
20100923,152539,SMS,Incoming,0
20100923,153317,Voice,Outgoing,43
20100923,153539,SMS,Outgoing,0
20100923,153718,SMS,Incoming,0
20100923,162709,SMS,Incoming,0
20100923,163114,SMS,Outgoing,0
20100923,163226,SMS,Outgoing,0
20100923,163836,SMS,Incoming,0
20100923,171052,SMS,Incoming,0
20100923,172411,SMS,Outgoing,0
20100923,173543,Voice,Outgoing,0
20100923,173643,Voice,Incoming,106
20100923,180500,SMS,Outgoing,0
20100923,180558,Voice,Outgoing,0
20100923,180653,Data,Outgoing,81
20100923,182831,SMS,Incoming,0
20100923,184314,SMS,Outgoing,0
20100923,184355,SMS,Outgoing,0
20100923,184829,Voice,Missed call,0
20100923,190813,Voice,Outgoing,0
20100924,060129,SMS,Incoming,0
20100924,061043,SMS,Outgoing,0
20100924,061735,SMS,Incoming,0
20100924,063257,SMS,Outgoing,0
20100924,063410,SMS,Incoming,0
20100924,063456,SMS,Outgoing,0
20100924,071726,Voice,Outgoing,196
20100924,072111,Voice,Outgoing,197
20100924,072803,Voice,Incoming,147
20100924,073104,Voice,Outgoing,0
20100924,073436,SMS,Outgoing,0
20100924,073610,Voice,Outgoing,73
20100924,073943,Voice,Outgoing,323
20100924,075004,Data,Outgoing,87
20100924,075136,Data,Outgoing,74
20100924,075255,Data,Outgoing,28
20100924,075429,Voice,Outgoing,194
20100924,075812,Voice,Outgoing,141
20100924,080041,Voice,Outgoing,0
20100924,081526,SMS,Outgoing,0
20100924,081722,SMS,Outgoing,0
20100924,081806,SMS,Outgoing,0
20100924,082210,Voice,Incoming,183
20100924,082528,Voice,Incoming,92
20100924,082657,SMS,Incoming,0
20100924,082823,Voice,Outgoing,164
20100924,083117,Voice,Outgoing,0
20100924,083304,Voice,Incoming,195
20100924,084306,Voice,Missed call,0
20100924,084400,SMS,Outgoing,0
20100924,084441,SMS,Incoming,0
20100924,084606,SMS,Outgoing,0
20100924,084634,SMS,Incoming,0
20100924,091934,Voice,Incoming,141
20100924,092230,Voice,Outgoing,70
20100924,092829,Voice,Outgoing,118
20100924,093056,SMS,Outgoing,0
20100924,093755,Voice,Incoming,676
20100924,093828,SMS,Incoming,0
20100924,093937,SMS,Incoming,0
20100924,095237,SMS,Incoming,0
20100924,101933,SMS,Outgoing,0
20100924,102959,SMS,Incoming,0
20100924,103036,SMS,Outgoing,0
20100924,103527,Voice,Incoming,16
20100924,103600,Voice,Incoming,39
20100924,103700,Voice,Outgoing,68
20100924,103824,Voice,Outgoing,19
20100924,103939,Voice,Outgoing,108
20100924,113336,Voice,Incoming,15
20100924,113437,Voice,Outgoing,14
20100924,113438,SMS,Incoming,0
20100924,113545,SMS,Outgoing,0
20100924,113612,SMS,Incoming,0
20100924,113733,Voice,Incoming,11
20100924,115206,Voice,Outgoing,0
20100924,115211,SMS,Outgoing,0
20100924,115242,Voice,Incoming,34
20100924,120420,Voice,Missed call,0
20100924,120637,Voice,Outgoing,186
20100924,121106,Voice,Outgoing,0
20100924,121203,SMS,Outgoing,0
20100924,121300,SMS,Incoming,0
20100924,121831,Voice,Outgoing,0
20100924,122006,SMS,Outgoing,0
20100924,122016,Voice,Outgoing,202
20100924,122519,Voice,Outgoing,0
20100924,122629,Voice,Outgoing,0
20100924,122651,Voice,Incoming,52
20100924,122705,SMS,Incoming,0
20100924,123056,Voice,Incoming,27
20100924,123152,Voice,Outgoing,61
20100924,124107,Voice,Incoming,189
20100924,124244,SMS,Incoming,0
20100924,124512,SMS,Outgoing,0
20100924,124636,Voice,Incoming,53
20100924,124848,Voice,Outgoing,144
20100924,125503,Voice,Missed call,0
20100924,125948,Voice,Outgoing,45
20100924,130412,Voice,Incoming,56
20100924,131236,Voice,Outgoing,0
20100924,132700,Voice,Outgoing,133
20100924,132931,Voice,Outgoing,137
20100924,133413,Voice,Incoming,49
20100924,133934,Voice,Outgoing,98
20100924,151336,Voice,Missed call,0
20100924,163152,SMS,Outgoing,0
20100924,163540,Voice,Missed call,0
20100924,164155,SMS,Incoming,0
20100924,164225,Voice,Outgoing,21
20100924,165628,SMS,Incoming,0
20100924,170844,Voice,Missed call,0
20100924,170921,Voice,Missed call,0
20100924,173052,Voice,Outgoing,6
20100924,174020,Voice,Outgoing,0
20100924,174048,Voice,Outgoing,0
20100924,174343,SMS,Outgoing,0
20100924,174715,Voice,Missed call,0
20100924,174742,Voice,Missed call,0
20100924,174750,SMS,Outgoing,0
20100924,174901,SMS,Incoming,0
20100924,174951,Voice,Outgoing,40
20100924,175649,SMS,Incoming,0
20100924,175801,SMS,Outgoing,0
20100924,180435,SMS,Outgoing,0
20100924,181038,SMS,Incoming,0
20100924,182941,Voice,Outgoing,20
20100924,185715,Voice,Outgoing,43
20100924,191852,Voice,Outgoing,1
20100924,191905,Voice,Outgoing,0
20100924,192010,Voice,Outgoing,119
20100924,194102,Voice,Outgoing,56
20100924,194211,Voice,Outgoing,0
20100924,194238,SMS,Outgoing,0
20100924,194722,Voice,Outgoing,0
20100924,202548,SMS,Outgoing,0
20100924,202553,SMS,Outgoing,0
20100924,202600,SMS,Outgoing,0
20100924,203823,SMS,Incoming,0
20100924,205153,Voice,Outgoing,191
20100924,212104,SMS,Incoming,0
20100924,212312,SMS,Outgoing,0
20100924,213135,SMS,Outgoing,0
20100924,214811,SMS,Incoming,0
20100924,220059,SMS,Incoming,0
20100924,221145,Voice,Outgoing,9
20100924,222551,Data,Outgoing,51
20100924,222846,SMS,Outgoing,0
20100924,223256,SMS,Outgoing,0
20100924,223314,SMS,Incoming,0
20100924,223414,Voice,Incoming,41
20100924,231246,SMS,Outgoing,0
20100924,231259,SMS,Incoming,0
20100924,231411,Voice,Outgoing,37
20100924,231620,Voice,Outgoing,7
20100924,231723,SMS,Outgoing,0
20100924,231729,SMS,Incoming,0
20100924,232058,SMS,Outgoing,0
20100924,232238,SMS,Outgoing,0
20100924,232244,SMS,Incoming,0
20100924,232643,Voice,Outgoing,64
20100924,233448,SMS,Incoming,0
20100924,233755,Voice,Incoming,44
20100924,234809,SMS,Outgoing,0
20100924,234814,SMS,Incoming,0
20100924,234846,Voice,Incoming,35
20100925,001010,SMS,Outgoing,0
20100925,002744,Voice,Incoming,23
20100925,003153,SMS,Outgoing,0
20100925,003201,SMS,Incoming,0
20100925,003230,SMS,Outgoing,0
20100925,003248,SMS,Incoming,0
20100925,003306,SMS,Outgoing,0
20100925,003318,SMS,Incoming,0
20100925,003344,SMS,Outgoing,0
20100925,004301,SMS,Outgoing,0
20100925,004317,SMS,Incoming,0
20100925,004448,SMS,Outgoing,0
20100925,010141,Voice,Incoming,40
20100925,011224,SMS,Incoming,0
20100925,012659,SMS,Outgoing,0
20100925,012706,SMS,Incoming,0
20100925,014426,Voice,Outgoing,31
20100925,023027,Data,Outgoing,92
20100925,035706,SMS,Outgoing,0
20100925,040541,SMS,Incoming,0
20100925,041026,SMS,Outgoing,0
20100925,041241,SMS,Incoming,0
20100925,041957,SMS,Incoming,0
20100925,045942,SMS,Outgoing,0
20100925,050954,Voice,Incoming,25
20100925,051538,SMS,Outgoing,0
20100925,051938,Data,Outgoing,283
20100925,052301,SMS,Incoming,0
20100925,052405,Voice,Outgoing,21
20100925,052503,Voice,Outgoing,54
20100925,061809,Voice,Incoming,253
20100925,065606,Voice,Outgoing,114
20100925,073033,Voice,Incoming,110
20100925,082120,Voice,Outgoing,0
20100925,082148,Voice,Outgoing,0
20100925,082312,SMS,Outgoing,0
20100925,083539,Data,Outgoing,9
20100925,083551,Data,Outgoing,52
20100925,085254,SMS,Incoming,0
20100925,090140,SMS,Outgoing,0
20100925,090442,SMS,Incoming,0
20100925,090555,SMS,Outgoing,0
20100925,090706,SMS,Incoming,0
20100925,091417,Voice,Outgoing,527
20100925,092357,Voice,Outgoing,107
20100925,095932,SMS,Outgoing,0
20100925,111210,SMS,Outgoing,0
20100925,112511,Voice,Outgoing,86
20100925,112645,Data,Outgoing,59
20100925,112724,Voice,Outgoing,0
20100925,112746,Voice,Outgoing,0
20100925,124646,SMS,Incoming,0
20100925,143637,SMS,Outgoing,0
20100925,144028,SMS,Incoming,0
20100925,144311,SMS,Outgoing,0
20100925,153655,Voice,Outgoing,0
20100925,153721,Voice,Outgoing,0
20100925,153803,Voice,Outgoing,0
20100925,153825,Voice,Outgoing,0
20100925,153845,Data,Outgoing,28
20100925,153907,SMS,Incoming,0
20100925,153951,SMS,Outgoing,0
20100925,154123,Data,Outgoing,62
20100925,160336,Data,Outgoing,101
20100925,162857,Voice,Outgoing,0
20100925,165825,Voice,Outgoing,0
20100925,171024,Voice,Outgoing,0
20100925,171948,Voice,Incoming,107
20100925,174018,SMS,Outgoing,0
20100925,174053,SMS,Incoming,0
20100925,174142,Voice,Outgoing,16
20100925,174320,Data,Outgoing,39
20100925,174420,Voice,Missed call,0
20100925,174456,Voice,Outgoing,256
20100925,180200,Voice,Outgoing,356
20100925,181118,Data,Outgoing,2492
20100925,182531,Voice,Outgoing,26
20100925,182613,Voice,Outgoing,14
20100925,192354,SMS,Outgoing,0
20100925,195308,SMS,Incoming,0
20100925,211135,Data,Outgoing,17
20100926,063751,SMS,Outgoing,0
20100926,075614,Data,Outgoing,86
20100926,075941,SMS,Outgoing,0
20100926,080041,Data,Outgoing,364
20100926,080824,Voice,Outgoing,0
20100926,080839,Voice,Outgoing,0
20100926,080849,Voice,Outgoing,0
20100926,090109,Voice,Incoming,53
20100926,101636,SMS,Outgoing,0
20100926,114154,Voice,Outgoing,171
20100926,114525,Voice,Outgoing,105
20100926,143609,Data,Outgoing,43
20100926,151010,Voice,Incoming,117
20100926,152359,SMS,Outgoing,0
20100926,152615,Voice,Outgoing,8
20100926,154056,Voice,Missed call,0
20100926,154717,Voice,Outgoing,55
20100926,155236,Voice,Outgoing,0
20100926,163532,Voice,Outgoing,0
20100926,164755,Voice,Outgoing,265
20100926,171134,Voice,Incoming,280
20100926,172013,Voice,Outgoing,149
20100926,184723,Data,Outgoing,43
20100926,185118,Voice,Outgoing,338
20100926,192349,Voice,Incoming,115
20100926,193508,SMS,Outgoing,0
20100926,193759,Data,Outgoing,26
20100926,193957,Data,Outgoing,9
20100926,194008,Data,Outgoing,216
20100927,063041,Data,Outgoing,37
20100927,063153,Data,Outgoing,23
20100927,063745,Voice,Outgoing,10
20100927,070107,Voice,Outgoing,127
20100927,075600,Voice,Outgoing,0
20100927,075624,Voice,Outgoing,0
20100927,080002,Voice,Outgoing,156
20100927,081105,SMS,Incoming,0
20100927,081130,Voice,Outgoing,0
20100927,081133,SMS,Outgoing,0
20100927,081550,SMS,Incoming,0
20100927,081657,SMS,Outgoing,0
20100927,082246,Voice,Incoming,41
20100927,083116,Voice,Incoming,146
20100927,084622,Voice,Outgoing,0
20100927,084625,SMS,Outgoing,0
20100927,084650,Voice,Outgoing,130
20100927,084741,SMS,Incoming,0
20100927,091630,Data,Outgoing,351
20100927,100248,SMS,Incoming,0
20100927,100256,Data,Outgoing,17
20100927,113116,Voice,Outgoing,40
20100927,113509,Voice,Incoming,64
20100927,113627,Data,Outgoing,312
20100927,122140,SMS,Incoming,0
20100927,132337,SMS,Incoming,0
20100927,135837,SMS,Outgoing,0
20100927,144511,Voice,Incoming,321
20100927,144529,SMS,Outgoing,0
20100927,152306,SMS,Outgoing,0
20100927,155006,SMS,Incoming,0
20100927,155152,SMS,Incoming,0
20100927,155431,SMS,Outgoing,0
20100927,155616,SMS,Incoming,0
20100927,155732,SMS,Outgoing,0
20100927,160429,SMS,Incoming,0
20100927,160749,SMS,Outgoing,0
20100927,161030,SMS,Outgoing,0
20100927,161138,SMS,Incoming,0
20100927,161242,SMS,Incoming,0
20100927,161411,SMS,Incoming,0
20100927,161430,SMS,Outgoing,0
20100927,161433,SMS,Outgoing,0
20100927,163153,Data,Outgoing,29
20100927,163553,Data,Outgoing,41
20100927,165600,SMS,Outgoing,0
20100927,171247,SMS,Incoming,0
20100927,180602,SMS,Incoming,0
20100927,180904,SMS,Outgoing,0
20100927,185955,Data,Outgoing,88
20100927,190125,Data,Outgoing,81
20100927,190832,Voice,Incoming,73
20100927,200547,Data,Outgoing,23
20100927,200611,Data,Outgoing,109
20100927,201916,Data,Outgoing,341
20100927,205233,Data,Outgoing,8
20100928,063829,SMS,Incoming,0
20100928,063919,Voice,Outgoing,236
20100928,070325,Voice,Outgoing,211
20100928,070815,SMS,Incoming,0
20100928,071031,SMS,Outgoing,0
20100928,071524,Voice,Outgoing,196
20100928,085437,SMS,Incoming,0
20100928,085854,SMS,Outgoing,0
20100928,090003,SMS,Incoming,0
20100928,091330,SMS,Outgoing,0
20100928,104851,Voice,Incoming,84
20100928,123924,Voice,Outgoing,635
20100928,125021,Voice,Outgoing,0
20100928,131402,SMS,Outgoing,0
20100928,131714,SMS,Incoming,0
20100928,132942,Data,Outgoing,100
20100928,133339,Data,Outgoing,84
20100928,133729,Data,Outgoing,133
20100928,140033,SMS,Outgoing,0
20100928,140250,SMS,Incoming,0
20100928,141416,SMS,Outgoing,0
20100928,141628,SMS,Incoming,0
20100928,141808,SMS,Outgoing,0
20100928,142228,SMS,Incoming,0
20100928,155128,Voice,Outgoing,0
20100928,155152,Voice,Incoming,490
20100928,160412,SMS,Incoming,0
20100928,160610,SMS,Outgoing,0
20100928,161002,SMS,Outgoing,0
20100928,161058,Voice,Outgoing,11
20100928,161204,SMS,Incoming,0
20100928,161326,Voice,Incoming,309
20100928,163524,SMS,Incoming,0
20100928,163539,Voice,Incoming,29
20100928,164722,Voice,Outgoing,0
20100928,164751,Voice,Incoming,1034
20100928,171829,SMS,Outgoing,0
20100928,173349,SMS,Incoming,0
20100928,173828,SMS,Outgoing,0
20100928,175100,SMS,Incoming,0
20100928,175155,SMS,Outgoing,0
20100928,180030,SMS,Incoming,0
20100928,180300,SMS,Outgoing,0
20100928,184459,SMS,Outgoing,0
20100928,184524,SMS,Incoming,0
20100928,184552,SMS,Outgoing,0
20100928,190024,SMS,Incoming,0
20100928,192317,Data,Outgoing,61
20100928,192920,SMS,Outgoing,0
20100928,192929,SMS,Incoming,0
20100928,192932,Data,Outgoing,16
20100928,193126,Data,Outgoing,17
20100928,193225,Data,Outgoing,71
20100928,202943,Data,Outgoing,7
20100928,210100,SMS,Incoming,0
20100928,212540,SMS,Outgoing,0
20100929,053313,Voice,Outgoing,75
20100929,054154,Voice,Outgoing,27
20100929,054536,SMS,Incoming,0
20100929,055904,SMS,Outgoing,0
20100929,060056,Voice,Outgoing,16
20100929,060140,SMS,Incoming,0
20100929,060257,SMS,Outgoing,0
20100929,061019,Voice,Incoming,57
20100929,061134,SMS,Incoming,0
20100929,061301,SMS,Outgoing,0
20100929,063145,SMS,Incoming,0
20100929,064229,SMS,Outgoing,0
20100929,064231,Data,Outgoing,67
20100929,064732,SMS,Outgoing,0
20100929,065323,SMS,Incoming,0
20100929,072400,SMS,Incoming,0
20100929,072417,SMS,Incoming,0
20100929,073023,Voice,Incoming,250
20100929,073528,SMS,Outgoing,0
20100929,073550,SMS,Incoming,0
20100929,075454,SMS,Outgoing,0
20100929,075549,SMS,Incoming,0
20100929,075845,SMS,Outgoing,0
20100929,075908,Voice,Outgoing,0
20100929,081229,Voice,Incoming,29
20100929,093055,Voice,Outgoing,0
20100929,094110,Voice,Outgoing,117
20100929,095225,Data,Outgoing,24
20100929,103102,Voice,Incoming,56
20100929,105439,SMS,Outgoing,0
20100929,105859,SMS,Incoming,0
20100929,110101,SMS,Outgoing,0
20100929,110212,SMS,Outgoing,0
20100929,110225,SMS,Incoming,0
20100929,110513,SMS,Incoming,0
